Distance_deg,Density_Type,Predictor,Beta,SE,P_value,CI_Lower_95,CI_Upper_95,R2,Adj_R2,F_pvalue,N
1.5,Linear,Axial length (mm),-1385.8089883467903,576.4140499081724,0.0191136602186157,-2537.3284290137044,-234.28954767987602,0.23637724274782645,0.16478760925543523,0.006802316770054465,71
1.5,Linear,Age,94.61910490522155,113.5051964103929,0.40760105559879667,-132.13359188297446,321.3718016934175,0.23637724274782645,0.16478760925543523,0.006802316770054465,71
1.5,Linear,Spherical equivalent refraction (D),-263.7021305144111,272.8734814100925,0.3374869080336136,-808.8295762042605,281.4253151754383,0.23637724274782645,0.16478760925543523,0.006802316770054465,71
1.5,Linear,Gender,3013.294132852952,1419.1945791379526,0.03760595813690942,178.12703686214672,5848.4612288437565,0.23637724274782645,0.16478760925543523,0.006802316770054465,71
1.5,Linear,Corneal curvature (mm),-2719.060504778754,1919.6548539343385,0.16149811704229905,-6554.01193253828,1115.8909229807728,0.23637724274782645,0.16478760925543523,0.006802316770054465,71
1.5,Linear,Anterior chamber depth (mm),3850.7718898588746,1277.5777959586442,0.0036909750251255444,1298.516841174453,6403.026938543297,0.23637724274782645,0.16478760925543523,0.006802316770054465,71
1.5,Linear,Intercept,78781.9175814049,24821.87873157956,0.0023124705765013823,29194.514363450777,128369.320799359,0.23637724274782645,0.16478760925543523,0.006802316770054465,71
1.5,Angular,Axial length (mm),261.65339684741906,54.26825082275915,9.153085573396009e-06,153.2401028908426,370.0666908039955,0.547668155304907,0.505262044864742,1.6685611788538604e-09,71
1.5,Angular,Age,10.440334400005895,10.68629133774071,0.33225569723074366,-10.907986700077007,31.788655500088797,0.547668155304907,0.505262044864742,1.6685611788538604e-09,71
1.5,Angular,Spherical equivalent refraction (D),-35.185306421848665,25.690502399102705,0.1756032799117157,-86.50798489885597,16.137372055158636,0.547668155304907,0.505262044864742,1.6685611788538604e-09,71
1.5,Angular,Gender,291.282180576567,133.614382576601,0.032940795017257905,24.356766259941935,558.207594893192,0.547668155304907,0.505262044864742,1.6685611788538604e-09,71
1.5,Angular,Corneal curvature (mm),-527.0114342587171,180.73173463247804,0.004883250446834326,-888.0645800102944,-165.95828850713986,0.547668155304907,0.505262044864742,1.6685611788538604e-09,71
1.5,Angular,Anterior chamber depth (mm),235.52701804160114,120.28144055079275,0.05457642864167822,-4.7627826107681415,475.8168186939704,0.547668155304907,0.505262044864742,1.6685611788538604e-09,71
